event_ts_timezone,cycle_time,act_missed,act_wrong_seq,activities,worker_presence,worker_absent,process_time,idle_time,target_cycle_time,batch_size,device_id,product_code,product_description,cm_site,building_floor_line,station_name,qpl,line_side,shift,op_id
2022-04-14 07:49:29,39.722299700098894,1,1,"{'1': {'event_ts_time_zone': 1649922539, 'time': 9.756177929464686, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922541, 'time': 1.5818109005410304, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922545, 'time': 4.021543376294351, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922547, 'time': 2.1202045752205843, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922548, 'time': 0.9430522850874477, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922552, 'time': 4.20609117723271, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922561, 'time': 8.9118863470221, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922563, 'time': 1.5862920871773794, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922565, 'time': 2.471144515419961, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': 1649922568, 'time': 3.0436861089196303, 'name': '10_inspection', 'sequence': 10, 'lean': 'RNVA', 'target_time': 3}, '11': {'event_ts_time_zone': 1649922569, 'time': 1.0804103977190203, 'name': '11_return item', 'sequence': 11, 'lean': 'RNVA', 'target_time': 1}}",39.722299700098894,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
2022-04-14 07:50:22,52.62586599286897,1,1,"{'1': {'event_ts_time_zone': 1649922582, 'time': 12.56816208179508, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922583, 'time': 1.0876934878778963, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922585, 'time': 2.1698234276285913, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922590, 'time': 5.148036412307219, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922591, 'time': 1.016778010433689, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922600, 'time': 8.29259379486957, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922615, 'time': 15.158811817174277, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922615, 'time': 0.8154018480082487, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922618, 'time': 2.9418115966733116, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': 1649922621, 'time': 2.4140165068992068, 'name': '10_inspection', 'sequence': 10, 'lean': 'RNVA', 'target_time': 3}, '11': {'event_ts_time_zone': 1649922622, 'time': 1.012737009201876, 'name': '11_return item', 'sequence': 11, 'lean': 'RNVA', 'target_time': 1}}",52.62586599286897,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
2022-04-14 07:51:14,52.63092899654475,0,0,"{'1': {'event_ts_time_zone': 1649922631, 'time': 8.882669647305482, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922632, 'time': 0.8550202088437665, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922635, 'time': 2.943656738854118, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922639, 'time': 4.550473980328956, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922641, 'time': 1.7553153721720542, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922649, 'time': 8.552642877697503, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922670, 'time': 20.47203380989918, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922671, 'time': 1.2053230073364478, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922674, 'time': 2.480894106078996, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': nan, 'time': nan, 'name': nan, 'sequence': nan, 'lean': nan, 'target_time': nan}, '11': {'event_ts_time_zone': 1649922674, 'time': 0.9328992480282505, 'name': '11_return item', 'sequence': 10, 'lean': 'RNVA', 'target_time': 1}}",52.63092899654475,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
2022-04-14 07:51:59,44.24580249401017,0,0,"{'1': {'event_ts_time_zone': 1649922687, 'time': 12.91419452141289, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922688, 'time': 0.8619939872129694, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922691, 'time': 3.078364769379138, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922695, 'time': 3.954003438675814, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922696, 'time': 1.011900559969824, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922700, 'time': 4.154419058525902, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922711, 'time': 10.397852434032842, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922712, 'time': 0.8365484636720961, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922718, 'time': 5.868226597719542, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': nan, 'time': nan, 'name': nan, 'sequence': nan, 'lean': nan, 'target_time': nan}, '11': {'event_ts_time_zone': 1649922719, 'time': 1.1682986634091548, 'name': '11_return item', 'sequence': 10, 'lean': 'RNVA', 'target_time': 1}}",44.24580249401017,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
2022-04-14 07:52:52,53.252575499501226,1,1,"{'1': {'event_ts_time_zone': 1649922727, 'time': 8.578560089562849, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922728, 'time': 0.9091033282700218, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922732, 'time': 3.9203345000211973, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922734, 'time': 2.248451214977625, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922736, 'time': 1.8837473789044787, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922742, 'time': 5.949290517011141, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922764, 'time': 21.868971311827508, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922765, 'time': 0.8444229888925463, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922768, 'time': 2.6415917044467085, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': 1649922771, 'time': 3.49349228669821, 'name': '10_inspection', 'sequence': 10, 'lean': 'RNVA', 'target_time': 3}, '11': {'event_ts_time_zone': 1649922772, 'time': 0.9146101788889409, 'name': '11_return item', 'sequence': 11, 'lean': 'RNVA', 'target_time': 1}}",53.252575499501226,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
2022-04-14 07:53:32,39.99818434835195,1,1,"{'1': {'event_ts_time_zone': 1649922780, 'time': 8.256794796227503, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922781, 'time': 0.8092774861336723, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922784, 'time': 3.0484593883836952, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922787, 'time': 2.4084410448596856, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922788, 'time': 1.1912218398117511, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922795, 'time': 7.719290680917353, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922804, 'time': 8.938340940461183, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922805, 'time': 0.8112998095153506, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922808, 'time': 2.780439227832566, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': 1649922811, 'time': 2.8891225333723325, 'name': '10_inspection', 'sequence': 10, 'lean': 'RNVA', 'target_time': 3}, '11': {'event_ts_time_zone': 1649922812, 'time': 1.1454966008368632, 'name': '11_return item', 'sequence': 11, 'lean': 'RNVA', 'target_time': 1}}",39.99818434835195,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
2022-04-14 07:54:20,48.45972905670573,1,1,"{'1': {'event_ts_time_zone': 1649922822, 'time': 9.637960850447287, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922823, 'time': 1.4731810005394923, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922827, 'time': 3.7597706270387192, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922829, 'time': 2.176161035855267, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922830, 'time': 1.3172870308737252, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922834, 'time': 4.051296263773711, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922846, 'time': 11.119934870130244, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922848, 'time': 2.012132168029229, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922854, 'time': 6.19290791993299, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': 1649922859, 'time': 5.353681264637958, 'name': '10_inspection', 'sequence': 10, 'lean': 'RNVA', 'target_time': 3}, '11': {'event_ts_time_zone': 1649922860, 'time': 1.3654160254471084, 'name': '11_return item', 'sequence': 11, 'lean': 'RNVA', 'target_time': 1}}",48.45972905670573,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
2022-04-14 07:55:05,44.46651521809372,1,1,"{'1': {'event_ts_time_zone': 1649922873, 'time': 12.808315491389678, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922874, 'time': 0.8076181023988183, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922877, 'time': 2.9867130077748563, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922881, 'time': 3.8708131973167976, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922882, 'time': 0.8393698748699223, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922888, 'time': 6.469956352502143, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922897, 'time': 8.638302733795113, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922898, 'time': 0.8249697493491168, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922901, 'time': 3.722332525840988, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': 1649922904, 'time': 2.575489434330893, 'name': '10_inspection', 'sequence': 10, 'lean': 'RNVA', 'target_time': 3}, '11': {'event_ts_time_zone': 1649922905, 'time': 0.9226347485253881, 'name': '11_return item', 'sequence': 11, 'lean': 'RNVA', 'target_time': 1}}",44.46651521809372,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
2022-04-14 07:55:50,45.42804837623057,1,1,"{'1': {'event_ts_time_zone': 1649922913, 'time': 8.297895175134768, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922914, 'time': 1.1238590584656227, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922917, 'time': 2.9804680785744226, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922922, 'time': 4.585913265922317, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922923, 'time': 1.3181658441006168, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922927, 'time': 4.227656456600059, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922942, 'time': 14.991100033405395, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922944, 'time': 1.3575751727395806, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922947, 'time': 2.741550431855818, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': 1649922949, 'time': 2.7241659071289437, 'name': '10_inspection', 'sequence': 10, 'lean': 'RNVA', 'target_time': 3}, '11': {'event_ts_time_zone': 1649922950, 'time': 1.079698952303032, 'name': '11_return item', 'sequence': 11, 'lean': 'RNVA', 'target_time': 1}}",45.42804837623057,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
2022-04-14 07:56:31,40.9579666439034,1,1,"{'1': {'event_ts_time_zone': 1649922959, 'time': 8.406610359989093, 'name': '01_waiting', 'sequence': 1, 'lean': 'NVA', 'target_time': 10}, '2': {'event_ts_time_zone': 1649922960, 'time': 1.0829314630778473, 'name': '02_pick up', 'sequence': 2, 'lean': 'RNVA', 'target_time': 1}, '3': {'event_ts_time_zone': 1649922963, 'time': 3.3400853000605313, 'name': '03_place on fixture', 'sequence': 3, 'lean': 'RNVA', 'target_time': 2.5}, '4': {'event_ts_time_zone': 1649922965, 'time': 2.177868471992076, 'name': '04_pick up tool', 'sequence': 4, 'lean': 'RNVA', 'target_time': 2.5}, '5': {'event_ts_time_zone': 1649922967, 'time': 1.6708686507289834, 'name': '05_pick up screw', 'sequence': 5, 'lean': 'RNVA', 'target_time': 1}, '6': {'event_ts_time_zone': 1649922973, 'time': 5.5338308888549586, 'name': '06_place scew', 'sequence': 6, 'lean': 'VA', 'target_time': 5}, '7': {'event_ts_time_zone': 1649922984, 'time': 11.146441733346277, 'name': '07_screw operation', 'sequence': 7, 'lean': 'VA', 'target_time': 10}, '8': {'event_ts_time_zone': 1649922985, 'time': 0.9680597079329726, 'name': '08_put back tool', 'sequence': 8, 'lean': 'RNVA', 'target_time': 1}, '9': {'event_ts_time_zone': 1649922987, 'time': 2.799569023009775, 'name': '09_remove from fixture', 'sequence': 9, 'lean': 'RNVA', 'target_time': 3}, '10': {'event_ts_time_zone': 1649922990, 'time': 2.970994010296544, 'name': '10_inspection', 'sequence': 10, 'lean': 'RNVA', 'target_time': 3}, '11': {'event_ts_time_zone': 1649922991, 'time': 0.8607070346143412, 'name': '11_return item', 'sequence': 11, 'lean': 'RNVA', 'target_time': 1}}",40.9579666439034,0,-1,-1,40.0,1,0123,phone2022,A12345678,LXKS,C02-2FT-02,AE-33,2,A,0700-1800,2-0700-1800
